Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",14492647382801.033,14492647382799.83,14492647382799.695,14492647382799.424,14492647382800.22,14492647382799.775,14492647382799.533,14492647382799.451,14492647382799.43,14492647382799.418,14492647382799.47,14492647382799.469,14492647382799.453,14492647382799.414,14492647382799.414,14492647382799.414,14492647382799.408,14492647382799.414,14492647382799.408,14492647382799.42,14492647382799.414,14492647382799.451,14492647382799.41,14492647382799.414,14492647382799.43,14492647382799.41,14492647382799.426,14492647382799.43,14492647382799.533,14492647382799.414,14492647382799.418,14492647382799.42,14492647382799.426,14492647382799.42,14492647382799.727,14492647382799.424,14492647382799.457,14492647382799.42,14492647382799.42,14492647382799.414,14492647382799.418,14492647382799.408,14492647382799.424,14492647382799.42,14492647382799.432,14492647382799.43,14492647382799.447,14492647382799.47,14492647382799.479,14492647382799.459
AUT Forestry and logging,2099294441955.84,2099294441956.902,2099294441955.8394,2099294441955.8345,2099294441955.8364,2099294441955.8381,2099294441956.1465,2099294441955.903,2099294441955.8447,2099294441955.8337,2099294441955.852,2099294441955.843,2099294441955.8447,2099294441955.8342,2099294441955.8328,2099294441955.8386,2099294441955.8328,2099294441955.8337,2099294441955.834,2099294441955.8337,2099294441955.843,2099294441955.9019,2099294441955.8328,2099294441955.8354,2099294441955.8308,2099294441955.847,2099294441955.8325,2099294441955.8333,2099294441955.8337,2099294441955.8335,2099294441955.8315,2099294441955.8325,2099294441955.8323,2099294441955.8323,2099294441955.8342,2099294441955.8367,2099294441955.8337,2099294441955.8333,2099294441955.831,2099294441955.8289,2099294441955.8296,2099294441955.8289,2099294441955.8325,2099294441955.8303,2099294441955.8308,2099294441955.8325,2099294441955.8362,2099294441955.834,2099294441955.8345,2099294441955.8328
AUT Fishing and aquaculture,494506965351.95685,494506965351.9557,494506965352.9736,494506965351.955,494506965351.96783,494506965351.9698,494506965351.9551,494506965351.95526,494506965351.95514,494506965351.95483,494506965351.9556,494506965351.95575,494506965351.9551,494506965351.9549,494506965351.9548,494506965351.95496,494506965351.9548,494506965351.95496,494506965351.9547,494506965351.9551,494506965351.9549,494506965351.96136,494506965351.9548,494506965351.9548,494506965351.9552,494506965351.95447,494506965351.9551,494506965351.95526,494506965351.9616,494506965351.955,494506965351.95496,494506965351.9551,494506965351.95514,494506965351.9552,494506965351.97546,494506965351.95514,494506965351.9554,494506965351.95496,494506965351.955,494506965351.95483,494506965351.95496,494506965351.9547,494506965351.95496,494506965351.95514,494506965351.9551,494506965351.95514,494506965351.95544,494506965351.95593,494506965351.95636,494506965351.9558
AUT Mining and quarrying,50069915330739.61,50069915330739.74,50069915330739.72,50069915330740.92,50069915330739.58,50069915330739.62,50069915330739.67,50069915330739.64,50069915330739.6,50069915330740.695,50069915330739.79,50069915330739.58,50069915330739.69,50069915330739.89,50069915330740.59,50069915330740.03,50069915330739.76,50069915330739.98,50069915330739.89,50069915330739.75,50069915330739.85,50069915330739.83,50069915330739.85,50069915330739.69,50069915330739.71,50069915330739.66,50069915330739.66,50069915330739.625,50069915330739.56,50069915330739.78,50069915330739.695,50069915330739.8,50069915330739.58,50069915330739.65,50069915330739.58,50069915330739.52,50069915330739.57,50069915330739.61,50069915330739.555,50069915330739.52,50069915330739.53,50069915330739.53,50069915330739.56,50069915330739.57,50069915330739.56,50069915330739.58,50069915330739.586,50069915330739.58,50069915330739.6,50069915330739.58
"AUT Manufacture of food products, beverages and tobacco products",13390316124420.57,13390316124420.508,13390316124420.59,13390316124420.475,13390316124421.78,13390316124420.635,13390316124420.475,13390316124420.477,13390316124420.475,13390316124420.469,13390316124420.514,13390316124420.523,13390316124420.488,13390316124420.467,13390316124420.465,13390316124420.46,13390316124420.46,13390316124420.467,13390316124420.459,13390316124420.469,13390316124420.465,13390316124420.473,13390316124420.459,13390316124420.46,13390316124420.488,13390316124420.45,13390316124420.48,13390316124420.477,13390316124420.594,13390316124420.465,13390316124420.469,13390316124420.469,13390316124420.475,13390316124420.477,13390316124420.885,13390316124420.473,13390316124420.49,13390316124420.475,13390316124420.475,13390316124420.469,13390316124420.469,13390316124420.46,13390316124420.469,13390316124420.477,13390316124420.475,13390316124420.48,13390316124420.498,13390316124420.53,13390316124420.518,13390316124420.514
"AUT Manufacture of textiles, wearing apparel and leather products",1919003325263.5515,1919003325263.5552,1919003325263.5608,1919003325263.552,1919003325263.5525,1919003325264.7349,1919003325263.555,1919003325263.557,1919003325263.559,1919003325263.552,1919003325263.5547,1919003325263.552,1919003325263.5596,1919003325263.553,1919003325263.5518,1919003325263.5554,1919003325263.5537,1919003325263.5544,1919003325263.5537,1919003325263.5552,1919003325263.559,1919003325263.5767,1919003325263.5515,1919003325263.5508,1919003325263.5586,1919003325263.5522,1919003325263.5557,1919003325263.552,1919003325263.553,1919003325263.553,1919003325263.5508,1919003325263.5515,1919003325263.5515,1919003325263.5537,1919003325263.554,1919003325263.5522,1919003325263.5532,1919003325263.5518,1919003325263.5513,1919003325263.5486,1919003325263.5488,1919003325263.5483,1919003325263.5498,1919003325263.55,1919003325263.5503,1919003325263.5525,1919003325263.5552,1919003325263.5635,1919003325263.5557,1919003325263.5647
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",5081932252870.53,5081932252870.543,5081932252870.548,5081932252870.54,5081932252870.528,5081932252870.543,5081932252871.726,5081932252870.552,5081932252870.535,5081932252870.537,5081932252870.53,5081932252870.529,5081932252870.535,5081932252870.535,5081932252870.536,5081932252870.558,5081932252870.531,5081932252870.535,5081932252870.538,5081932252870.534,5081932252870.572,5081932252870.764,5081932252870.538,5081932252870.545,5081932252870.529,5081932252870.588,5081932252870.532,5081932252870.535,5081932252870.534,5081932252870.535,5081932252870.532,5081932252870.534,5081932252870.535,5081932252870.531,5081932252870.531,5081932252870.529,5081932252870.535,5081932252870.536,5081932252870.528,5081932252870.523,5081932252870.525,5081932252870.523,5081932252870.535,5081932252870.526,5081932252870.528,5081932252870.535,5081932252870.545,5081932252870.531,5081932252870.536,5081932252870.53
AUT Manufacture of paper and paper products,5683296308762.729,5683296308762.726,5683296308762.726,5683296308762.729,5683296308762.752,5683296308762.739,5683296308762.7295,5683296308763.953,5683296308762.905,5683296308762.726,5683296308762.742,5683296308762.762,5683296308762.742,5683296308762.745,5683296308762.724,5683296308762.729,5683296308762.733,5683296308762.731,5683296308762.7295,5683296308762.7295,5683296308762.727,5683296308762.73,5683296308762.726,5683296308762.725,5683296308762.731,5683296308762.726,5683296308762.7295,5683296308762.739,5683296308762.745,5683296308762.729,5683296308762.726,5683296308762.729,5683296308762.726,5683296308762.736,5683296308762.741,5683296308762.827,5683296308762.739,5683296308762.733,5683296308762.733,5683296308762.726,5683296308762.726,5683296308762.724,5683296308762.727,5683296308762.7295,5683296308762.73,5683296308762.734,5683296308762.751,5683296308762.751,5683296308762.737,5683296308762.743
AUT Printing and reproduction of recorded media,7665729213802.815,7665729213802.818,7665729213802.813,7665729213802.82,7665729213802.817,7665729213802.825,7665729213802.816,7665729213802.876,7665729213803.9,7665729213802.817,7665729213802.822,7665729213802.825,7665729213802.822,7665729213802.822,7665729213802.815,7665729213802.819,7665729213802.82,7665729213802.822,7665729213802.822,7665729213802.821,7665729213802.82,7665729213802.818,7665729213802.818,7665729213802.816,7665729213802.829,7665729213802.813,7665729213802.823,7665729213802.833,7665729213802.85,7665729213802.819,7665729213802.82,7665729213802.817,7665729213802.821,7665729213802.837,7665729213802.825,7665729213802.895,7665729213802.869,7665729213802.835,7665729213802.841,7665729213802.825,7665729213802.825,7665729213802.82,7665729213802.823,7665729213802.829,7665729213802.83,7665729213802.835,7665729213802.853,7665729213802.829,7665729213802.84,7665729213802.847
AUT Manufacture of coke and refined petroleum products ,19099763047828.656,19099763047828.742,19099763047828.727,19099763047828.71,19099763047828.633,19099763047828.625,19099763047828.668,19099763047828.637,19099763047828.613,19099763047829.727,19099763047828.688,19099763047828.61,19099763047828.664,19099763047828.66,19099763047828.7,19099763047828.652,19099763047828.617,19099763047828.65,19099763047828.633,19099763047828.617,19099763047828.637,19099763047828.645,19099763047828.64,19099763047828.652,19099763047828.766,19099763047828.613,19099763047828.63,19099763047828.61,19099763047828.605,19099763047828.79,19099763047828.723,19099763047828.832,19099763047828.617,19099763047828.688,19099763047828.613,19099763047828.594,19099763047828.61,19099763047828.633,19099763047828.605,19099763047828.594,19099763047828.598,19099763047828.598,19099763047828.598,19099763047828.61,19099763047828.61,19099763047828.617,19099763047828.61,19099763047828.613,19099763047828.613,19099763047828.617
